[Wed Sep 04 02:42:56.884333 2019] [:error] [pid 1964:tid 1788] [client ::1:19436] PHP Fatal error:  Cannot redeclare Store::render_store_edit() in F:\\Business\\Future Sigh\\CoffeeApp\\application\\models\\STORE.php on line 183, referer: http://localhost:1234/Admin/store/
[Wed Sep 04 04:03:36.409093 2019] [:error] [pid 1964:tid 1784] [client ::1:30699] PHP Fatal error:  Cannot redeclare Admin::store_unlink() in F:\\Business\\Future Sigh\\CoffeeApp\\application\\controllers\\Admin.php on line 191, referer: http://localhost:1234/Admin/store/all
[Wed Sep 04 04:03:49.455559 2019] [:error] [pid 1964:tid 1788] [client ::1:30727] PHP Fatal error:  Cannot redeclare Admin::store_unlink() in F:\\Business\\Future Sigh\\CoffeeApp\\application\\controllers\\Admin.php on line 191, referer: http://localhost:1234/Admin/store/all
[Sat Sep 07 15:54:08.159184 2019] [:error] [pid 1964:tid 1784] [client ::1:28250] PHP Fatal error:  Cannot use temporary expression in write context in F:\\Business\\Future Sigh\\CoffeeApp\\application\\controllers\\Input.php on line 112, referer: http://localhost:1234/Admin/store/add
[Sun Sep 08 06:59:36.448618 2019] [:error] [pid 1964:tid 1784] [client ::1:42135] PHP Fatal error:  Cannot redeclare Admin::expenses_all() in F:\\Business\\Future Sigh\\CoffeeApp\\application\\controllers\\Admin.php on line 270, referer: http://localhost:1234/admin/expt/all
[Thu Sep 12 12:25:10.597606 2019] [:error] [pid 1964:tid 1788] [client ::1:8589] PHP Fatal error:  Cannot redeclare MyTables::get_meals_by_id() in F:\\Business\\Future Sigh\\CoffeeApp\\application\\models\\MyTables.php on line 307
[Thu Sep 12 12:25:14.891471 2019] [:error] [pid 1964:tid 1756] [client ::1:8590] PHP Fatal error:  Cannot redeclare MyTables::get_meals_by_id() in F:\\Business\\Future Sigh\\CoffeeApp\\application\\models\\MyTables.php on line 307
[Thu Sep 12 12:25:57.348286 2019] [:error] [pid 1964:tid 1788] [client ::1:8689] PHP Fatal error:  Cannot redeclare MyTables::update_store_debits() in F:\\Business\\Future Sigh\\CoffeeApp\\application\\models\\MyTables.php on line 563
[Thu Sep 12 12:26:09.391320 2019] [:error] [pid 1964:tid 1756] [client ::1:8715] PHP Fatal error:  Cannot redeclare MyTables::update_store_debits() in F:\\Business\\Future Sigh\\CoffeeApp\\application\\models\\MyTables.php on line 563
[Thu Sep 12 13:29:48.035273 2019] [:error] [pid 1964:tid 1784] [client ::1:38946] PHP Fatal error:  Cannot re-assign $this in F:\\Business\\Future Sigh\\CoffeeApp\\application\\helpers\\custom_helper.php on line 18, referer: http://localhost:1234/Admin/meals/add
[Tue Sep 17 19:41:43.038886 2019] [:error] [pid 1964:tid 1788] [client ::1:33069] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 4096 bytes) in F:\\Business\\Future Sigh\\CoffeeApp\\application\\controllers\\Input.php on line 22, referer: http://localhost:1234/Admin/meals/unlink/2/
[Tue Sep 17 19:49:43.847342 2019] [:error] [pid 1964:tid 1788] [client ::1:34474] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in F:\\Business\\Future Sigh\\CoffeeApp\\application\\controllers\\Input.php on line 94, referer: http://localhost:1234/Admin/meals/unlink/2/
[Tue Sep 17 19:49:43.850336 2019] [:error] [pid 1964:tid 1788] [client ::1:34474] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in Unknown on line 0, referer: http://localhost:1234/Admin/meals/unlink/2/
[Tue Sep 17 19:49:43.852346 2019] [:error] [pid 1964:tid 1788] [client ::1:34474] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in Unknown on line 0, referer: http://localhost:1234/Admin/meals/unlink/2/
[Tue Sep 17 19:49:43.854347 2019] [:error] [pid 1964:tid 1788] [client ::1:34474] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 262144 bytes) in Unknown on line 0, referer: http://localhost:1234/Admin/meals/unlink/2/
